January 7, 2025 > 16:21:07 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 10, 2025 > 11:29:41 | WARNING | login = ramir, operation = auth, status = Incorrect username/password
January 10, 2025 > 11:29:51 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 10, 2025 > 14:40:46 | DEBUG | Получение пароля для пользователя: ratmir
January 10, 2025 > 14:40:46 | DEBUG | Пароль найден для пользователя: ratmir
January 10, 2025 > 14:40:46 | DEBUG | Получение информации о пользователе: ratmir
January 10, 2025 > 14:40:46 | DEBUG | Данные пользователя ratmir успешно получены
January 10, 2025 > 14:40:46 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 10, 2025 > 19:39:44 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 14, 2025 > 12:53:30 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 15, 2025 > 11:08:03 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 18, 2025 > 11:11:35 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 18, 2025 > 11:35:41 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 18, 2025 > 11:36:00 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 18, 2025 > 11:55:30 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 19, 2025 > 11:07:21 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 19, 2025 > 11:10:51 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 19, 2025 > 11:16:26 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 19, 2025 > 11:21:53 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 19, 2025 > 16:03:26 | INFO | login = ratmir, operation = auth, status = Logged in successfully
January 19, 2025 > 17:42:54 | INFO | login = ratmir, operation = auth, status = Logged in successfully
