January 7, 2025 > 16:23:04 | INFO | id = 2, operation = add_expens, status = True, for_user_id = 2, value = 400, pepose = string
January 7, 2025 > 16:23:39 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 400, period = 2025-01-07
January 7, 2025 > 16:24:00 | INFO | id = 2, operation = get_budget, status = succes
January 10, 2025 > 11:30:32 | ERROR | id = 2, operation = add_payment, status = Server error - 'NoneType' object is not subscriptable, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:31:57 | ERROR | id = 2, operation = add_payment, status = Server error - 'NoneType' object is not subscriptable, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:36:35 | ERROR | id = 2, operation = add_payment, status = Server error - 'NoneType' object is not subscriptable, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:37:54 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:38:35 | ERROR | id = 2, operation = add_expens, status = Server error - 'NoneType' object is not subscriptable, for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:40:41 | ERROR | id = 2, operation = add_expens, status = Server error - unsupported operand type(s) for +: 'NoneType' and 'int', for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:40:52 | ERROR | id = 2, operation = add_expens, status = Server error - unsupported operand type(s) for +: 'NoneType' and 'int', for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:41:42 | ERROR | id = 2, operation = add_expens, status = Server error - unsupported operand type(s) for +: 'NoneType' and 'int', for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:41:44 | ERROR | id = 2, operation = add_expens, status = Server error - unsupported operand type(s) for +: 'NoneType' and 'int', for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:42:43 | ERROR | id = 2, operation = add_expens, status = Server error - unsupported operand type(s) for +: 'NoneType' and 'int', for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:43:50 | INFO | id = 2, operation = add_expens, status = True, for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:44:25 | INFO | id = 2, operation = add_expens, status = True, for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:45:02 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:47:46 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:47:49 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:47:59 | INFO | id = 2, operation = add_expens, status = True, for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:48:00 | INFO | id = 2, operation = add_expens, status = True, for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:48:02 | INFO | id = 2, operation = add_expens, status = True, for_user_id = 2, value = 300, pepose = string
January 10, 2025 > 11:48:06 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:48:07 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:48:07 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:48:07 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
January 10, 2025 > 11:48:07 | INFO | id = 2, operation = add_payment, status = True, for_user_id = 2, value = 200, period = 2025-01-10
